bio_passenger_1,bio_passenger_2,bio_passenger_3,bio_passenger_4,bio_passenger_captured
0.007428666,0.029703185,-0.002426402,0.000102434,-0.002692667
-0.01287577,0.014900856,-0.001236192,-0.020621827,-0.013979281
0.006551312,0.008813907,0.012952972,0.008988746,0.013979435
0.02431575,-0.012882441,-0.012169257,-0.008543786,0.024341308
0.004632121,-0.005597528,-0.006388907,-0.006243036,0.00060708
0.01045989,-0.003915594,0.026031222,0.004472592,0.015307062
0.003482117,-0.012218059,0.02836635,0.003385725,0.002809747
-0.002398764,-0.003529481,-0.011151926,-0.003561858,0.001170209
-0.03775141,0.01542403,-0.034953024,0.006983213,-0.04758364
0.023245137,-0.009703,0.014573488,0.012001671,0.028906502
0.041197609,-0.012481323,0.002158331,-0.001827516,0.037901405
0.009856554,-0.012720693,0.000206922,-0.001358815,0.002383978
-0.050337717,-0.035214968,0.00727454,-0.020393196,-0.037293769
0.020247402,0.009460741,0.011481457,0.012209963,0.017489746
0.006188423,0.014166478,0.021346796,0.005481335,0.007287301
-0.024869237,-0.003540446,-0.012529697,-0.007641966,-0.028011413
-0.038725991,-0.001863014,-0.016494188,-0.020507731,-0.038772561
-0.006488689,0.013577643,0.005071269,0.002576687,-0.015487368
-0.038387157,-0.0091688,0.013864305,-0.010753905,-0.029204786
-0.023888733,0.024983371,-0.04553245,-0.005265881,-0.021908317
-0.014085913,0.011864436,0.010362151,0.001914391,-0.022164153
0.020175181,-0.001430183,0.001171974,-0.00306496,0.027686553
0.01901824,-0.007583599,-0.011601216,0.001569227,0.017563723
-0.014798192,0.005899374,0.047847878,0.014379917,-0.019720845
0.012955851,-0.030701481,0.029485082,-0.011898147,0.005880377
-0.017970001,0.010021987,0.013437897,0.00520369,-0.023557099
-0.004578863,0.039870419,0.027567299,0.011226913,-0.017597673
-0.020843597,-0.007160753,-0.01781523,-0.000741103,-0.013304467
0.02784414,-0.003324662,0.01785698,0.001581461,0.022273114
-0.010594882,-0.03691785,0.013481192,0.002677739,-0.001095222
0.011485347,-0.006071142,-0.002252016,-0.010949039,0.005909322
0.032777756,-0.010620955,0.024813481,0.002795484,0.033824489
-0.008168491,-0.012045231,0.002748864,-0.005173164,-0.008881977
-0.010793633,0.011254135,-0.046874464,-0.004643793,-0.019419447
-0.013236153,-0.014659177,-0.004704041,0.005812573,-0.007850908
-0.009901429,-0.018302716,0.010350369,-0.009004404,-0.010321761
0.005623078,0.000962895,0.015701288,-0.003024745,-0.004771386
0.001945217,-0.007567708,-0.018856576,-0.000946578,0.002967313
-0.052900292,0.044462521,-0.026604075,-0.00200736,-0.052448321
